flight_date,lat,lon,mpf,ocf,sif,mean_probability_per_img
2022-07-17,80.99253,7.4974217,0.0588042876553771,0.3100347222222222,0.6899652777777778,0.8945421576499939
2022-07-17,80.99282,7.495713,0.0653584069124482,0.3108246527777777,0.6891753472222222,0.8935348391532898
2022-07-17,80.99312,7.494001,0.0625074954711574,0.3123741319444444,0.6876258680555556,0.8929797410964966
2022-07-17,80.99341,7.4922943,0.0625505970451325,0.31375,0.68625,0.8953213691711426
2022-07-17,80.993706,7.4905925,0.0633273337673444,0.3199739583333333,0.6800260416666667,0.8949186205863953
2022-07-17,80.994,7.488892,0.0661423225732673,0.3168272569444444,0.6831727430555555,0.8958463072776794
2022-07-17,80.99429,7.487196,0.0702630002167234,0.3190885416666666,0.6809114583333333,0.8950328230857849
2022-07-17,80.99459,7.485496,0.0740262548655455,0.3175868055555556,0.6824131944444445,0.892892599105835
2022-07-17,80.99489,7.4837947,0.0785894174347698,0.3209809027777778,0.6790190972222222,0.894494891166687
2022-07-17,80.99518,7.4820848,0.0783878214715297,0.3180164930555555,0.6819835069444444,0.8916535377502441
2022-07-17,80.995476,7.4803786,0.0782816533350329,0.3190321180555555,0.6809678819444445,0.888485312461853
2022-07-17,80.995766,7.478673,0.0744334511788793,0.3174131944444444,0.6825868055555555,0.8882930278778076
2022-07-17,80.99606,7.4769588,0.0724422737617306,0.3210590277777778,0.6789409722222223,0.8884674310684204
2022-07-17,80.99635,7.4752436,0.0718904355635384,0.3233940972222222,0.6766059027777778,0.8894625902175903
2022-07-17,80.99665,7.473527,0.0708664946440348,0.3221310763888889,0.6778689236111111,0.8896511793136597
2022-07-17,80.99694,7.4718075,0.0728509790906073,0.3199826388888889,0.6800173611111111,0.8882206678390503
2022-07-17,80.99723,7.4700885,0.0735402642572497,0.3236414930555555,0.6763585069444444,0.886812150478363
2022-07-17,80.99753,7.4683685,0.0752358520756262,0.3218663194444444,0.6781336805555556,0.8888937830924988
2022-07-17,80.99782,7.46665,0.0783880726567187,0.3199565972222222,0.6800434027777778,0.8892783522605896
2022-07-17,80.998116,7.4649315,0.0844795610849238,0.3259895833333333,0.6740104166666666,0.8836295008659363
2022-07-17,80.998405,7.4632187,0.0815662383983546,0.3331510416666666,0.6668489583333334,0.8806193470954895
2022-07-17,80.9987,7.4615064,0.0861069357955765,0.3329817708333333,0.6670182291666666,0.8819862008094788
2022-07-17,80.999,7.459798,0.0852501632835184,0.3288237847222222,0.6711762152777778,0.8814407587051392
2022-07-17,80.9993,7.4580917,0.0903670639387176,0.3251866319444444,0.6748133680555556,0.8765937685966492
2022-07-17,80.999596,7.4563837,0.0947146712301717,0.3405815972222222,0.6594184027777777,0.8687880039215088
2022-07-17,80.99989,7.454675,0.1062570390089075,0.3217361111111111,0.6782638888888889,0.8663004636764526
2022-07-17,81.00019,7.452965,0.1323770491803278,0.3116319444444444,0.6883680555555556,0.8635566830635071
2022-07-17,81.00049,7.4512486,0.1378515617680676,0.3050911458333333,0.6949088541666667,0.8619961738586426
2022-07-17,81.000786,7.4495325,0.1273488685396185,0.3170008680555555,0.6829991319444444,0.8601577877998352
2022-07-17,81.00108,7.447813,0.1387008750744911,0.3080946180555555,0.6919053819444444,0.8566224575042725
2022-07-17,81.00138,7.44609,0.1429443716528221,0.3176128472222222,0.6823871527777777,0.8583726286888123
2022-07-17,81.00168,7.4443684,0.1468243830156864,0.3204513888888889,0.6795486111111111,0.8551784753799438
2022-07-17,81.001976,7.442643,0.1492427369423718,0.3165147569444444,0.6834852430555556,0.8608264923095703
2022-07-17,81.00227,7.44092,0.172393836809877,0.3025347222222222,0.6974652777777778,0.8590916395187378
2022-07-17,81.00256,7.4391966,0.1694012916739396,0.3037673611111111,0.6962326388888889,0.8556536436080933
2022-07-17,81.00286,7.437472,0.1816014662357122,0.2990364583333333,0.7009635416666666,0.8595218062400818
2022-07-17,81.00316,7.4357424,0.1853235779805455,0.2798350694444444,0.7201649305555555,0.8594576120376587
2022-07-17,81.003456,7.4340143,0.1862946593671753,0.2841015625,0.7158984375,0.866524338722229
2022-07-17,81.00375,7.4322853,0.1754903769292258,0.294140625,0.705859375,0.8627488613128662
2022-07-17,81.00404,7.4305534,0.1782937998327988,0.3043142361111111,0.6956857638888889,0.8641353249549866
2022-07-17,81.00434,7.4288187,0.172812478620784,0.3021397569444444,0.6978602430555556,0.8595840930938721
2022-07-17,81.00464,7.427087,0.1656859591697727,0.3118098958333333,0.6881901041666667,0.8639222383499146
2022-07-17,81.00493,7.4253526,0.1494482502189983,0.3112977430555556,0.6887022569444444,0.8594014644622803
2022-07-17,81.005226,7.42362,0.1389050743546221,0.3147048611111111,0.6852951388888889,0.8562000393867493
2022-07-17,81.005516,7.4218874,0.1402160312555859,0.3201215277777778,0.6798784722222222,0.8582057952880859
2022-07-17,81.00581,7.4201536,0.1267161540278158,0.3199956597222222,0.6800043402777778,0.8587784171104431
2022-07-17,81.0061,7.4184246,0.1235024979608482,0.3188888888888889,0.6811111111111111,0.8626603484153748
2022-07-17,81.0064,7.416696,0.1243733299401959,0.3177951388888889,0.6822048611111111,0.8682500123977661
2022-07-17,81.00669,7.414969,0.1085701909724434,0.3186371527777777,0.6813628472222222,0.8685970306396484
2022-07-17,81.00699,7.413243,0.1182264117112155,0.3222309027777778,0.6777690972222222,0.8687407970428467
2022-07-17,81.00728,7.411513,0.111899153407231,0.3237803819444444,0.6762196180555555,0.871588408946991
2022-07-17,81.00757,7.4097834,0.1155926539965817,0.3219574652777778,0.6780425347222222,0.8685241937637329
